,humidity,id,light,moisture,temperature,w.id,volumeRetained,ambTemp,ambTemp(K),temperature(K),ambHumid,rain,rainVolume,windSpeed,windSpeed(ms),windGust,cloudCover,tempDiff,tempDiff%,humidDiff,humidDiff%,Qlatent,Qsensible,BowenRatio
count,1543.0,1543.0,1543.0,1543.0,1543.0,1543.0,1543.0,1543.0,1543.0,1543.0,1543.0,1543.0,1543.0,1543.0,1543.0,1543.0,1543.0,1543.0,1543.0,1543.0,1543.0,1543.0,1543.0,1543.0
mean,66.26701231367466,1390.0,77.47634478289048,0.3882047958522359,21.31756318859365,2173.0,0.0031056383668178894,19.919471448116976,293.0694714481158,294.4675631886011,67.71419313026571,0.0584018924173687,1.8688605573557984,16.484491762799756,4.5790254896665985,31.10549457550223,0.5098055735580057,1.398091740476701,0.47366722959248647,-1.4471808165910565,-2.921402531690647,-3.7873704918121915,1.2050335718806162,
std,20.812017488387347,445.57004686880225,80.28248152336216,1.7551970869569664,5.053821481594591,445.57004686880225,0.014041576695656128,2.891441033874412,2.8914410338744125,5.053821481594591,14.585295421176365,0.126129611063691,4.036147554038112,4.957448323731792,1.3770689788143848,8.863710908616998,0.22889536470728153,3.360209950523261,1.1408186486056722,12.616961110984825,21.04599448836071,24.16242610784671,2.8419919698637153,
min,17.0,619.0,0.0,0.0,14.0,1402.0,0.0,13.983333333333334,287.1333333333333,287.15,38.0,0.0,0.0,8.5277,2.3688055555555554,13.0329,0.02,-3.716666666666697,-1.2647459165154367,-40.0,-66.66666666666666,-80.11526005550552,-3.519566677806296,-inf
25%,48.0,1004.5,1.0,0.0,17.0,1787.5,0.0,17.575,290.72499999999997,290.15,55.00000000000001,0.0,0.0,12.067499999999999,3.352083333333333,27.14383,0.35,-1.1388888888889142,-0.39505126030988313,-9.999999999999996,-16.666666666666664,-18.789722310455552,-0.7393395504340258,-0.149053588987218
50%,69.0,1390.0,52.0,0.0,20.0,2173.0,0.0,20.361111111111114,293.51111111111106,293.15,67.0,0.007619999999999999,0.24383999999999997,15.896920000000001,4.415811111111111,31.23069,0.58,0.30000000000001137,0.10350181128170137,2.0,2.5316455696202533,2.832211893533322,0.1982059220312628,-0.097948117300018
75%,86.0,1775.5,137.0,0.0,25.0,2558.5,0.0,22.299999999999997,295.45,298.15,81.0,0.05206999999999999,1.6662399999999997,20.12859,5.5912749999999996,35.62326,0.7,3.21666666666664,1.0903071126840977,7.0,10.967256932843302,11.529207887944436,2.7575540478256375,-0.04529252704031383
max,94.0,2161.0,255.0,14.0,37.0,2944.0,0.11200000000000002,25.27777777777778,298.42777777777775,310.15,92.0,0.7619999999999999,24.383999999999997,29.33207,8.147797222222222,49.34803,1.0,14.883333333333326,5.057770729497053,37.0,69.81132075471697,80.35297568206107,12.61411851647177,inf
median,69.0,1390.0,52.0,0.0,20.0,2173.0,0.0,20.361111111111114,293.51111111111106,293.15,67.0,0.007619999999999999,0.24383999999999997,15.896920000000001,4.415811111111111,31.23069,0.58,0.30000000000001137,0.10350181128170137,2.0,2.5316455696202533,2.832211893533322,0.1982059220312628,-0.097948117300018
range,77.0,1542.0,255.0,14.0,23.0,1542.0,0.11200000000000002,11.294444444444444,11.294444444444423,23.0,54.0,0.7619999999999999,24.383999999999997,20.804370000000002,5.778991666666666,36.31513,0.98,18.600000000000023,6.322516646012489,77.0,136.47798742138363,160.4682357375666,16.133685194278065,inf
